src_lang	tgt_lang	src_text	mt_text	omit_spans	hall_spans	class_hall	class_omit	data_source
eng_Latn	rus_Cyrl	We will never overhaul a car, build a fountain in our backyard, travel to Peru to examine ancient ruins, or remodel our neighbour's house.	Мы никогда не реконструируем машину, не построим фонтан на своем заднем дворе, не поедем в Перу, чтобы осмотреть древние руины или перестроить дом нашего соседа.	We will never overhaul a car, build a fountain in our backyard, travel to Peru to examine ancient ruins, or remodel our neighbour's house.	Мы никогда не реконструируем машину, не построим фонтан на своем заднем дворе, не поедем в Перу, чтобы осмотреть древние руины или перестроить дом нашего соседа.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	I WAS LIKE OMG WHAT THE HECK ARE YOU DOING.	Я хотел знать, что вы делаете.	I WAS LIKE <<<OMG>>> WHAT <<<THE HECK>>> ARE YOU DOING.	Я хотел знать, что вы делаете.	1_No_hallucination	2_Small_omission	wiki
eng_Latn	rus_Cyrl	It can save money over buying new maps for a GPS, or a standalone GPS device or renting one from a car rental company.	Это может сэкономить деньги на покупке новых карт для GPS, или самостоятельного GPS-устройства или аренде одного от компании по аренде автомобилей.	It can save money over buying new maps for a GPS, or a standalone GPS device or renting one from a car rental company.	Это может сэкономить деньги на покупке новых карт для GPS, или самостоятельного GPS-устройства или аренде одного от компании по аренде автомобилей.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	As for the complainant- if I had blood coming out of my colon, I'd get it checked out.	Что касается заявителя, если бы у меня выходила кровь из толстой кишки, я бы проверил ее.	As for the complainant- if I had blood coming out of my colon, I'd get it checked out.	Что касается заявителя, если бы у меня выходила кровь из толстой кишки, я бы проверил ее.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	Tornadoes uproot trees, rip boards from buildings, and fling cars up into the sky. The most violent two percent of tornadoes last more than three hours.	Самые сильные два процента торнадо длится более трех часов.	<<<Tornadoes uproot trees, rip boards from buildings, and fling cars up into the sky.>>> The most violent two percent of tornadoes last more than three hours.	Самые сильные два процента торнадо длится более трех часов.	1_No_hallucination	3_Partial_omission	flores
eng_Latn	rus_Cyrl	== Mail for you ==	== Послание для вас ==	== Mail for you ==	== Послание для вас ==	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	There are a number of restaurants surrounding the garden, and in the afternoons and evening there free concerts are often given from the central gazebo.	В окрестностях сада есть несколько ресторанов, а вечером и днём здесь часто проводятся бесплатные концерты из центрального газеба.	There are a number of restaurants surrounding the garden, and in the afternoons and evening there free concerts are often given from the central gazebo.	В окрестностях сада есть несколько ресторанов, а вечером и днём здесь часто проводятся бесплатные концерты из центрального газеба.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	The crash site was located today and is so inaccessable that two policemen were dropped into the jungle in order to hike to the scene and seek survivors.	Место аварии было обнаружено сегодня и настолько недоступно, что два полицейских были брошены в джунгли, чтобы отправиться на место аварии и искать выживших.	The crash site was located today and is so inaccessable that two policemen were dropped into the jungle in order to hike to the scene and seek survivors.	Место аварии было обнаружено сегодня и настолько недоступно, что два полицейских были брошены в джунгли, чтобы отправиться на место аварии и искать выживших.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.	Санскрит - древний язык, сравнимый с латинским, на котором говорят в Европе.	Sanskrit is an ancient language and is comparable to the Latin language spoken in Europe.	Санскрит - древний язык, сравнимый с латинским, на котором говорят в Европе.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw."""	"Второй клей был более крупным, что привело к названию Hesperonychus, что означает ""западный клей""."	"Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw."""	"Второй клей был более крупным, что привело к названию Hesperonychus, что означает ""западный клей""."	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	::::Maybe authorites turn a deaf ear to any or all credible information.	Возможно, власти не услышат любую или всю достоверную информацию.	::::Maybe authorites turn a deaf ear to any or all credible information.	Возможно, власти не услышат любую или всю достоверную информацию.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	The articles pertain to the burroughs	Статьи относятся к прорывам	The articles pertain to the burroughs	Статьи относятся к прорывам	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	:::Hmm, hadn't seen this.	Хмм, не видел этого.	:::Hmm, hadn't seen this.	Хмм, не видел этого.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	1	1 1 1 1	1	<<<1 1 1 1>>>	4_Full_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	he ho hwong chung cho dick fuck monassde	Он хх ххххх хх х ххх черт возьми Монасде	he ho hwong chung cho dick fuck monassde	Он <<<хх ххххх хх х ххх>>> черт возьми Монасде	3_Partial_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	REDIRECT Talk:2007-08 North Carolina Tar Heels men's basketball team	REDIRECT Talk:2007-08 Северо-Каролина Тар-Хилс мужская баскетбольная команда	REDIRECT Talk:2007-08 North Carolina Tar Heels men's basketball team	REDIRECT Talk:2007-08 Северо-Каролина Тар-Хилс мужская баскетбольная команда	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.	Международный олимпийский комитет проголосовал за включение спорта на заседании исполнительного совета в Берлине.	The International Olympic Committee voted to include the sports at its executive board meeting in Berlin today. <<<Rugby, specifically rugby union, and golf were selected over five other sports to be considered to participate in the Olympics.>>>	Международный олимпийский комитет проголосовал за включение спорта на заседании исполнительного совета в Берлине.	1_No_hallucination	3_Partial_omission	flores
eng_Latn	rus_Cyrl	::I'm not contemplating reverting the edits, just trying to learn to be a better editor.	::Я не задумываюсь об отмене редактирования, просто пытаюсь научиться быть лучшим редактором.	::I'm not contemplating reverting the edits, just trying to learn to be a better editor.	::Я не задумываюсь об отмене редактирования, просто пытаюсь научиться быть лучшим редактором.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	Chingchongchingchongchingchong	Чжунчччжунчжжунч	Chingchongchingchongchingchong	Чжунчччжунчжжунч	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	::::::I'm sick of this idiocy.	Мне надоело этой глупости.	::::::I'm sick of this idiocy.	Мне надоело этой глупости.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	GOD DAMMIT I REMEMBER THAT SONG	Господи, я помню эту песню.	GOD DAMMIT I REMEMBER THAT SONG	Господи, я помню эту песню.	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	To	"В """	To	"В <<<"">>>"	3_Partial_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.	Сеть обмена гостеприимством - это организация, которая связывает путешественников с местными жителями городов, которые они собираются посетить.	A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.	Сеть обмена гостеприимством - это организация, которая связывает путешественников с местными жителями городов, которые они собираются посетить.	1_No_hallucination	1_No_omission	flores
eng_Latn	rus_Cyrl	LOVE TO MOLEST CHILDERN ==	Любовь к наиболее молодым детям	LOVE TO MOLEST CHILDERN ==	Любовь к наиболее молодым детям	1_No_hallucination	1_No_omission	wiki
eng_Latn	rus_Cyrl	Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.	Вчера почта извинилась перед гражданами и СМИ после того, как обнаружила, что мальчик скрыл более 600 почтовых документов, в том числе 429 открыток нового года, которые не были доставлены их предполагаемым получателям.	Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.	Вчера почта извинилась перед гражданами и СМИ после того, как обнаружила, что мальчик скрыл более 600 почтовых документов, в том числе 429 открыток нового года, которые не были доставлены их предполагаемым получателям.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	वीज़ा कि ज़रूरियात ति इखराजात छु कूम कि मुल्क मंज़ मुखतालीफ़ आसन ति एम मुलकी पेठ तुही ईवान छु तेम पेठ छु मुतासीर आसन।	The requirements and requirements of a visa vary from country to country and vary widely depending on the country.	वीज़ा कि ज़रूरियात ति इखराजात छु कूम कि मुल्क मंज़ मुखतालीफ़ आसन ति एम मुलकी पेठ तुही ईवान छु तेम पेठ छु मुतासीर आसन।	The requirements and requirements of a visa vary from country to country and vary widely depending on the country.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	एम शाखसन वातनो मुबायना तोर पैठ धमाका खेज़ मवाद सीथ लेस तरे पहयी वजीन अख गेड अकीस हजूम हस मंज़।	These branches were replaced by explosive materials with all three wheels in a single gauge.	<<<एम शाखसन वातनो मुबायना तोर पैठ धमाका खेज़ मवाद सीथ लेस तरे पहयी वजीन अख गेड अकीस हजूम हस मंज़।>>>	<<<These branches were replaced by explosive materials with all three wheels in a single gauge>>>.	4_Full_hallucination	4_Full_omission	flores
kas_Deva	eng_Latn	"सायनस दान छि अथ ""ताबकारी हुंड तकहफईफ करनि आमुत इखराज"" वनान ति कयाज़ी एटम छि रोक्षणी साथि मुठरिक गसान, एमी साथि रोशनि हीनदेन फोटानन ह्युंद इखराज छु गसान, ति रोक्षणी छि अकि किसमच ताबकारी।"	"Scientists refer to this as the ""concentration of matter and energy"" and say that the atoms are absorbed along with the proteins, the photons are absorbed by the light, and the proteins are of the same type."	"सायनस दान छि अथ ""ताबकारी हुंड तकहफईफ करनि आमुत इखराज"" वनान ति कयाज़ी एटम छि रोक्षणी साथि मुठरिक गसान, एमी साथि रोशनि हीनदेन फोटानन ह्युंद इखराज छु गसान, ति रोक्षणी छि अकि किसमच ताबकारी।"	"Scientists refer to this as the ""concentration of matter and energy"" and say that the atoms are absorbed along with the proteins, the photons are absorbed by the light, and the proteins are of the same type."	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	यि जहाज़ ओस यिवान ऊरकोतसुक निन ति यि ओस यिवान उंदरूनी फूजयोव ज़रयि चलावनि ।	The ship was nicknamed Urcotus and was operated by internal troops.	यि जहाज़ ओस यिवान ऊरकोतसुक निन ति यि ओस यिवान उंदरूनी फूजयोव ज़रयि चलावनि ।	The ship was nicknamed Urcotus and was operated by internal troops.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	वखत गुज़रन्स सीथ, वरयाह अल्फ़ाज़ आय जर्मन पेठ इकठ करनी। यि ओस रोशन खयाली हुनद अगाज़।	With the passage of time, many alphabets were united against the Germans.	वखत गुज़रन्स सीथ, वरयाह अल्फ़ाज़ आय जर्मन पेठ इकठ करनी। यि ओस रोशन खयाली हुनद अगाज़।	With the passage of time, many alphabets were united against the Germans.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	येली तूह अफ़ताब कि मरज़ नख दूर छु सपदान गैस छु पतली सपदान।	The gas that occurs at a distance from the center of the atmosphere is thinner.	येली तूह अफ़ताब कि मरज़ नख दूर छु सपदान गैस छु पतली सपदान।	The gas that occurs at a distance from the center of the atmosphere is thinner.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	अमयुक वजह छु यि कि बजली छा साकीट्स मंज़ बहान एटी बलबुल ढाती हिस तोहि शदीद बरकी झटकह हेकि दिथ अगर तोहि साकीट्स अंदर या बलबुक धात वालीस हिसस तहफ करान छुव एलि ज़न यि वाणी थोड़ा साकीट्स मंज़ छु आसान ।	The reason for this is that the bulb that flows through the inside of the socket can give a stronger barrier shock if the inside or metallic part of the bulb is inserted into the socket while the voice is in the small socket.	अमयुक वजह छु यि कि बजली छा साकीट्स मंज़ बहान एटी बलबुल ढाती हिस तोहि शदीद बरकी झटकह हेकि दिथ अगर तोहि साकीट्स अंदर या बलबुक धात वालीस हिसस तहफ करान छुव एलि ज़न यि वाणी थोड़ा <<<साकीट्स मंज़ छु आसान ।>>>	The reason for this is that the bulb that flows through the inside of the socket can give a stronger barrier shock if the inside or metallic part of the bulb is inserted into the socket while the <<<voice is in the small socket>>>.	3_Partial_hallucination	3_Partial_omission	flores
kas_Deva	eng_Latn	तुही पाज़ेव अख्तियार सेयतः अटहड़ माँज पनें फ्रिक्वेन्ट फलएर एर्लाइन हुंड अंतिखाब करून।	You have the same authority to stop your frequent flying by selecting an airline.	तुही पाज़ेव अख्तियार सेयतः अटहड़ माँज पनें फ्रिक्वेन्ट फलएर एर्लाइन हुंड अंतिखाब करून।	You have the same authority to stop your frequent flying by selecting an airline.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	कह बोटन माँज चेय आसान जुड़िया बेआई चेय आसान फिसलन खटेरे ते जुड़िया समान, जड़े तर बूट ते मोजोव, हील या हेलस बेआई सोलस खेया ते रे।	Some botanical teas are joined and the teas are folded and joined, similar to the roots of boots and moths, hills or hills and soils.	<<<कह बोटन माँज चेय आसान जुड़िया बेआई चेय>>> आसान फिसलन खटेरे ते जुड़िया समान, जड़े तर बूट ते मोजोव, हील या हेलस बेआई सोलस खेया ते रे।	Some botanical teas are joined and the teas are folded and joined, similar to the roots of boots and moths, <<<hills or hills and soils>>>.	3_Partial_hallucination	3_Partial_omission	flores
kas_Deva	eng_Latn	"""ऐस सेरी ऐस सिर्फ़ सदमस मंज़,"" माजि वोन।"	"""This series is only in Sodom"", said Maji."	"<<<""ऐस सेरी ऐस सिर्फ़ सदमस मंज़,"">>> माजि वोन।"	"<<<""This series is only in Sodom"",>>> said Maji."	3_Partial_hallucination	3_Partial_omission	flores
kas_Deva	eng_Latn	किहन पुसन बापथ बोज़नावन तूह किह कहानी।	You can tell a story for a book.	<<<किहन पुसन बापथ>>> बोज़नावन तूह किह कहानी।	You can tell a story <<<for a book>>>.	3_Partial_hallucination	3_Partial_omission	flores
kas_Deva	eng_Latn	तिमन छा इनशोरन्स करन वालि सुंद ई- मेल पतह ज़रूरत आसान बेय बेनुल अकवामी फोन नम्बर नसीहत/इजाज़त खातिर या दावा करनि खातिर ।	They may also need the insurer's e-mail address and a binary acquiescence phone number for advice/permission or to claim.	तिमन छा इनशोरन्स करन वालि सुंद ई- मेल पतह ज़रूरत आसान बेय बेनुल अकवामी फोन नम्बर नसीहत/इजाज़त खातिर या दावा करनि खातिर ।	They may also need the insurer's e-mail address and a binary acquiescence phone number for advice/permission or to claim.	1_No_hallucination	1_No_omission	flores
kas_Deva	eng_Latn	मुक़ामी बोल्न वालें हिंज़ तेदाद छु एम नख मुखतालीफ़ आसन ज़ि वरयाह क़रीब सान छु मुतलिक बोली हुनद शुमार करनी ईवान।	The number of native speakers is unlikely to increase over the next several years.	मुक़ामी बोल्न वालें हिंज़ तेदाद छु एम नख मुखतालीफ़ आसन ज़ि वरयाह क़रीब <<<सान छु मुतलिक बोली हुनद शुमार करनी ईवान।>>>	The number of native speakers is unlikely to increase over the next several years.	1_No_hallucination	3_Partial_omission	flores
kas_Deva	eng_Latn	"एमसुंद दोईम पंज ओस बोड, एम किन एमिस नाव हेस्पेरोनीचुस (Hesperonychus) पेव एमयुक मतलब छु ""मगरिबी पंज।"""	"His second leg was larger, hence his name Hesperonychus (Hesperonychus) meaning ""poor leg""."	"एमसुंद दोईम पंज ओस बोड, एम किन एमिस नाव हेस्पेरोनीचुस (Hesperonychus) पेव एमयुक मतलब छु ""मगरिबी पंज।"""	"His second leg was larger, hence his name Hesperonychus (Hesperonychus) meaning ""poor leg""."	1_No_hallucination	1_No_omission	flores
